										[ it-pron be-v	31217 ]										
										[ it-pron be-ed	22796 ]										
										[ be-v that-that	18085 ]										
										[ fact-n that-that	8201 ]										
										[ say-v that-that	7350 ]										
										[ suggest-v that-that	5342 ]										
										[ mean-v that-that	5265 ]										
										[ know-v that-that	4723 ]										
										[ believe-v that-that	4636 ]										
										[ ensure-v that-that	4393 ]										
										[ think-v that-that	3884 ]										
										[ show-v that-that	3106 ]										
										[ clear-adj that-that	2980 ]										
										[ sure-adj that-that	2922 ]										
										[ be-v able-adj	2845 ]										
										[ it-pron seem-v	2544 ]										
										[ see-v that-that	2519 ]										
										[ out-adv that-that	2400 ]										
										[ now-adv that-that	2088 ]										
										[ find-v that-that	2054 ]										
										[ argue-v that-that	2032 ]										
										[ it-pron would-_ be-v	1897 ]										
										[ aware-adj that-that	1778 ]										
										[ feel-v that-that	1764 ]										
										[ be-v also-adv	1746 ]										
										[ be-v important-adj	1654 ]										
										[ be-v likely-adj	1488 ]										
										[ assume-v that-that	1479 ]										
										[ be-v possible-adj	1467 ]										
										[ evidence-n that-that	1445 ]										
										[ remember-v that-that	1316 ]										
										[ be-v clear-adj	1315 ]										
										[ hope-v that-that	1314 ]										
										[ be-v now-adv	1258 ]										
										[ note-v that-that	1248 ]										
										[ it-pron seem-ed	1244 ]										
										[ make-v sure-adj	1239 ]										
										[ it-pron be-v important-adj	1197 ]										
										[ however-adv ,-, that-that	1194 ]										
										[ indicate-v that-that	1175 ]										
										[ it-pron that-that	1148 ]										
										[ claim-v that-that	1131 ]										
										[ doubt-n that-that	1103 ]										
										[ likely-adj that-that	1087 ]										
										[ possible-adj that-that	1074 ]										
										[ be-v still-adv	1058 ]										
										[ seem-v that-that	1051 ]										
										[ important-adj that-that	1036 ]										
										[ realise-v that-that	1035 ]										
										[ it-pron may-_ be-v	1029 ]										
										[ be-v sure-adj	1024 ]										
										[ it-pron have-v	1020 ]										
										[ point-v out-adv	1015 ]										
										[ it-pron be-v clear-adj	997 ]										
										[ it-pron be-v possible-adj	982 ]										
										[ view-n that-that	968 ]										
										[ also-adv that-that	964 ]										
										[ idea-n that-that	961 ]										
										[ agree-v that-that	949 ]										
										[ make-v sure-adj that-that	931 ]										
										[ it-pron be-v that-that	921 ]										
										[ way-n that-that	921 ]										
										[ be-v clear-adj that-that	882 ]										
										[ be-v good-adj	872 ]										
										[ be-v aware-adj	868 ]										
										[ true-adj that-that	868 ]										
										[ be-v true-adj	864 ]										
										[ accept-v that-that	859 ]										
										[ imply-v that-that	853 ]										
										[ do-v that-that	842 ]										
										[ it-pron be-v clear-adj that-that	795 ]										
										[ it-pron seem-v that-that	791 ]										
										[ it-pron also-adv	789 ]										
										[ belief-n that-that	776 ]										
										[ it-pron clear-adj	755 ]										
										[ be-v available-adj	751 ]										
										[ unlikely-adj that-that	748 ]										
										[ have-v to-to be-v	737 ]										
										[ point-v out-adv that-that	736 ]										
										[ be-v necessary-adj	716 ]										
										[ seem-v to-to be-v	701 ]										
										[ be-v sure-adj that-that	700 ]										
										[ understand-v that-that	700 ]										
										[ problem-n be-v	696 ]										
										[ appear-v that-that	695 ]										
										[ certain-adj that-that	691 ]										
										[ it-pron be-v also-adv	676 ]										
										[ it-pron will-_ be-v	668 ]										
										[ such-adj that-that	668 ]										
										[ just-adv that-that	662 ]										
										[ admit-v that-that	655 ]										
										[ then-adv that-that	650 ]										
										[ be-v unlikely-adj	644 ]										
										[ conclude-v that-that	639 ]										
										[ confirm-v that-that	633 ]										
										[ be-v difficult-adj	632 ]										
										[ surprising-adj that-that	626 ]										
										[ insist-v that-that	624 ]										
										[ assumption-n that-that	623 ]										
										[ it-pron have-_ be-ed	622 ]										
										[ it-pron '-v just-adv	621 ]										
										[ it-pron appear-v	616 ]										
										[ obvious-adj that-that	616 ]										
										[ be-v often-adv	615 ]										
										[ possibility-n that-that	614 ]										
										[ yesterday-n that-that	608 ]										
										[ feeling-n that-that	607 ]										
										[ it-pron clear-adj that-that	589 ]										
